STOCK,INDUSTRY_SECTOR,INDUSTRY_SECTOR_NUM,INDUSTRY_GROUP,INDUSTRY_GROUP_NUM,INDUSTRY_SUBGROUP,INDUSTRY_SUBGROUP_NUM
DVA ,"Consumer, Non-cyclical",10005,Healthcare-Services,20042,Dialysis Centers,387
NTAP ,Technology,10013,Computers,20106,Computers-Memory Devices,245
SNDK ,Technology,10013,Computers,20106,Computers-Memory Devices,245
EL ,"Consumer, Non-cyclical",10005,Cosmetics/Personal Care,20039,Cosmetics&Toiletries,100
LXK ,Technology,10013,Computers,20106,Computers-Peripher Equip,250
WAT ,Industrial,10011,Electronics,20081,Instruments-Scientific,198
CTXS ,Technology,10013,Software,20109,Applications Software,422
HIG ,Financial,10008,Insurance,20055,Multi-line Insurance,165
IRM ,"Consumer, Non-cyclical",10005,Commercial Services,20038,Commercial Services,84
LU ,Communications,10003,Telecommunications,20017,Telecommunication Equip,262
DF ,"Consumer, Non-cyclical",10005,Food,20040,Food-Dairy Products,106
YHOO ,Communications,10003,Internet,20015,Web Portals/ISP,684
EDS ,"Consumer, Cyclical",10004,Apparel,20019,Apparel Manufacturers,21
SEBL ,Technology,10013,Software,20109,Applications Software,422
TIE ,Basic Materials,10002,Mining,20013,Non-Ferrous Metals,703
ETFC ,Financial,10008,Diversified Finan Serv,20054,Finance-Invest Bnkr/Brkr,159
SRCL ,Industrial,10011,Environmental Control,20083,Hazardous Waste Disposal,353
ANF ,"Consumer, Cyclical",10004,Retail,20031,Retail-Apparel/Shoe,58
UVN ,Communications,10003,Media,20016,Television,44
RX ,Technology,10013,Software,20109,Medical Information Sys,427
NOV ,Energy,10007,Oil&Gas Services,20049,Oil Field Mach&Equip,143
TSG ,"Consumer, Cyclical",10004,Leisure Time,20028,Travel Services,336
TMRK ,Communications,10003,Internet,20015,Web Hosting/Design,692
SSP ,Communications,10003,Media,20016,Multimedia,307
MWW ,"Consumer, Non-cyclical",10005,Commercial Services,20038,Human Resources,88
NCR ,Technology,10013,Computers,20106,Computers-Integrated Sys,243
DGX ,"Consumer, Non-cyclical",10005,Healthcare-Services,20042,Medical Labs&Testing Srv,394
ROK ,Industrial,10011,Machinery-Diversified,20086,Industrial Automat/Robot,212
CIEN ,Communications,10003,Telecommunications,20017,Telecom Eq Fiber Optics,261
APH ,Industrial,10011,Electronics,20081,Electronic Connectors,195
AMZN ,Communications,10003,Internet,20015,E-Commerce/Products,677
Q ,Communications,10003,Telecommunications,20017,Telephone-Integrated,300
BXP ,Financial,10008,REITS,20057,REITS-Office Property,175
RL ,"Consumer, Cyclical",10004,Apparel,20019,Apparel Manufacturers,21
EOP ,Financial,10008,REITS,20057,REITS-Office Property,175
VLO ,Energy,10007,Oil&Gas,20048,Oil Refining&Marketing,138
CHRW ,Industrial,10011,Transportation,20091,Transport-Services,236
AMCC ,Technology,10013,Semiconductors,20108,Electronic Compo-Semicon,256
ADSK ,Technology,10013,Software,20109,Computer Aided Design,647
VRSN ,Communications,10003,Internet,20015,Internet Security,691
DIA ,Funds,10009,Equity Fund,20066,Growth&Income-Large Cap,762
PWR ,"Consumer, Non-cyclical",10005,Commercial Services,20038,Commercial Services,84
MAR ,"Consumer, Cyclical",10004,Lodging,20029,Hotels&Motels,43
BBY ,"Consumer, Cyclical",10004,Retail,20031,Retail-Consumer Electron,60
SEE ,Industrial,10011,Packaging&Containers,20089,Containers-Paper/Plastic,230
RLH ,"Consumer, Cyclical",10004,Lodging,20029,Hotels&Motels,43
BRCM ,Technology,10013,Semiconductors,20108,Electronic Compo-Semicon,256
LLL ,Industrial,10011,Aerospace/Defense,20078,Electronics-Military,242
