"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"2009-29",1.541176596,0.00917443,1.071950256,1.191265222,-0.483130796,0.488101088,4.38225138,1.00829444,1.301108176,-0.3799388046,1.799547988,1.081741418,0.619291424,0.872330564,0.533619924,0.618332516,0.388894292,0.787338954,0.556794734,0.5000921926,-0.5804182826,2.313724332,-0.603173482,1.96953832,-0.00688194,-0.610828074,1.250271598,0.193943444,1.704575082,1.9927303122
"2009-30",1.349251156,0.215845012,-0.819776924,0.62118482,3.30910988,0.234523292,0.9645816374,0.278308036,0.120613444,0.15804719,0.59806348,-0.578686994,2.17889012,0.718786154,0.480640742,-0.120257518,0.0479192818,-0.218172166,0.2761424018,0.15157031,-0.380877118,-0.661498486,0.0847675306000001,-0.6880839914,-0.134126336,0.839277552,0.374105608,0.370918548,-1.110177298,0.3304261152
"2009-31",2.11938856,0.17809267,2.933171708,-0.475751966,2.216108536,1.726049132,1.70759182,0.0265629006,0.162333146,-0.188690956,1.217483546,-0.210685364,1.921431348,0.154636448,1.01736953554,-0.626528502,0.24371175,-0.322783096,1.97965754,0.2541362002,0.047825254,0.08787329,0.030253282,0.06911126,-1.271579252,0.425458882,-0.6106589506,-0.2126657702,1.238936908,0.6535191328
"2009-32",0.4384523,-0.14634765,-0.578180228,-0.1129601168,1.24855695,-0.755038578,-0.738969736,-0.222879176,-0.795372874,-0.348813416,-0.2613761,-0.35092673,-1.1202295894,0.237146258,-0.08720647,0.102623386,-0.13417438,0.068255028,0.070742578,-0.435052498,0.027742078,0.5818478412,0.11078682,-0.239020012,0.130875694,0.630512544,0.000819564000000004,0.9985835302,-0.6385217098,-0.420681384
"2009-33",-1.012598006,0.553153262,0.7204563858,0.419891924,0.0709825,0.448975876,0.61218742,0.292181128,0.8354542,0.5773763936,0.23633448,0.471911584,0.456089526,0.327540032,0.274924094,0.164441018,0.208454996,0.3141396964,0.586933276,0.551986432,0.3653798266,0.997382434,0.593200444,1.07644481,0.466459978,0.51843484,0.185923641,-0.2041267688,0.738048588,0.3744278
"2009-34",-0.09181547,0.180058412,0.878798204,0.185710862,0.638152344,2.212885604,-0.269374928,0.32576377,-0.166707646,-0.322765788,-0.114116928,0.10757492,-0.166465112,0.00532657039999999,0.157264256,1.412983588,-0.2671918468,-0.223097178,-0.308858138,-0.339020606,-0.035235552,-0.13090326752,0.2382217444,0.22698558,-0.1567206864,0.339943118,-0.211125194,-0.04148545,0.052699682,-0.176872194
"2009-35",-0.454800498,0.287463052,-0.82246812,-0.544396276,-0.97354566,-0.758261064,-0.202865552,-0.50469399,-0.14283351,0.371251884,-0.502272034,-0.2844221806,-0.23739456,0.146912988,-0.488179338,-0.5984389,-0.128137846,-0.010798234,-0.25777912,-0.1898618436,-0.00833957599999997,-1.015109078,-0.0266557002,-0.507082268,-0.1009947372,0.267558798,-0.277075382,0.1972103036,-0.703583473,-0.184839776
"2009-36",1.57256507,-0.444969225,1.0104714825,1.12051289,-0.13628837,1.16351462775,1.3360986175,0.649168125,1.4206362825,0.7745672175,0.0722025975,0.2737316625,1.3978986625,0.53669197,0.325640805,-0.1753916825,0.1500298925,0.0712582675,0.1145267925,-1.801212835,-0.760360695,1.4985917,0.224026475,-0.1953617175,1.2999628975,0.60091400725,0.5699428975,-0.46272768,2.34507836,0.9454462175
"2009-37",1.696205,-0.194414696,0.3543748,0.29729647,0.7252843196,0.609474054,1.931536336,0.54187764,0.2718998428,0.89290646,1.219206918,-0.026235242,2.42853032,0.03608345,0.597695476,0.045368708,0.6633263056,0.0930939418,1.1467004124,0.4791157722,0.807722852,-0.461501608,0.3207191392,0.3216983,0.632049124,0.294573954,-1.1340375778,-0.244536298,0.0296525716,0.176709544
"2009-38",-1.39729938,-0.5154528218,-0.986675272,-0.051303916,-1.08999795,-0.53950905,-0.82832592,-0.524008836,-0.66823093,-0.332072792,-1.1936730942,-0.3129137476,-0.1445607854,0.387801614,-0.938207914,-0.178439166,-0.1491641934,-0.0315989146,-0.556165226,-0.1330740448,0.13503233,-0.331812092,0.250648982,-0.139405086,0.2405694524,-0.421007404,0.2890965118,-0.24115109,-0.562865352,-0.20355526
